python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime -c "import app.main" 2> import_times.log
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       129 |        129 | winreg
import time:       256 |        256 |   _io
import time:        33 |         33 |   marshal
import time:       211 |        211 |   nt
import time:       313 |        811 | _frozen_importlib_external
import time:       549 |        549 |   time
import time:       164 |        713 | zipimport
import time:        89 |         89 |     _codecs
import time:       535 |        624 |   codecs
import time:      2121 |       2121 |   encodings.aliases
import time:      2084 |       4829 | encodings
import time:      1015 |       1015 | encodings.utf_8
import time:       760 |        760 | encodings.cp1252
import time:        75 |         75 | _signal
import time:        49 |         49 |     _abc
import time:       145 |        194 |   abc
import time:       140 |        333 | io
import time:        60 |         60 |       _stat
import time:        66 |        126 |     stat
import time:       668 |        668 |     _collections_abc
import time:        51 |         51 |       genericpath
import time:       109 |        109 |       _winapi
import time:       115 |        275 |     ntpath
import time:       269 |       1338 |   os
import time:        71 |         71 |   _sitebuiltins
import time:       907 |        907 |   encodings.utf_8_sig
import time:       268 |        268 |         itertools
import time:       683 |        683 |         keyword
import time:       113 |        113 |           _operator
import time:      1046 |       1158 |         operator
import time:       775 |        775 |         reprlib
import time:       113 |        113 |         _collections
import time:      1590 |       4585 |       collections
import time:       952 |        952 |         types
import time:       114 |        114 |         _functools
import time:      1405 |       2471 |       functools
import time:      1266 |       8321 |     contextlib
import time:      1860 |      10181 |   _virtualenv
import time:      1191 |       1191 |   _distutils_hack
import time:       675 |        675 |     pywin32_system32
import time:      1420 |       2094 |   pywin32_bootstrap
import time:       370 |        370 |   sitecustomize
import time:      4944 |      21093 | site
import time:       628 |        628 |   app
import time:       987 |        987 |     starlette
import time:      1019 |       1019 |       __future__
import time:      1350 |       1350 |       warnings
import time:      2041 |       2041 |           enum
import time:      1195 |       3235 |         http
import time:       916 |        916 |         collections.abc
import time:       670 |       4820 |       starlette.exceptions
import time:      1365 |       8553 |     starlette.status
import time:       858 |        858 |         copyreg
import time:       103 |        103 |             _sre
import time:       612 |        612 |               re._constants
import time:       825 |       1437 |             re._parser
import time:       849 |        849 |             re._casefix
import time:       843 |       3230 |           re._compiler
import time:      1103 |       4333 |         re
import time:        69 |         69 |         _typing
import time:      4292 |       9550 |       typing
import time:       758 |        758 |         annotated_doc.main
import time:      1048 |       1806 |       annotated_doc
import time:       662 |        662 |             _weakrefset
import time:       892 |       1553 |           weakref
import time:       779 |       2332 |         copy
import time:       686 |        686 |           email
import time:       117 |        117 |           binascii
import time:       564 |        564 |           quopri
import time:       100 |        100 |               math
import time:        56 |         56 |                 _bisect
import time:       635 |        690 |               bisect
import time:        37 |         37 |               _random
import time:        38 |         38 |               _sha2
import time:       780 |       1645 |             random
import time:      2658 |       2658 |               _socket
import time:      1141 |       1141 |                 select
import time:      1427 |       2568 |               selectors
import time:       124 |        124 |               errno
import time:      2028 |       7377 |             socket
import time:       627 |        627 |               _datetime
import time:      1358 |       1985 |             datetime
import time:      1977 |       1977 |               urllib
import time:      2239 |       2239 |               ipaddress
import time:      2803 |       7017 |             urllib.parse
import time:        97 |         97 |                   _locale
import time:      1575 |       1671 |                 locale
import time:      1715 |       3386 |               calendar
import time:      1301 |       4687 |             email._parseaddr
import time:       106 |        106 |                     _struct
import time:       791 |        896 |                   struct
import time:       724 |       1620 |                 base64
import time:       629 |       2248 |               email.base64mime
import time:        58 |         58 |                   _string
import time:      1005 |       1063 |                 string
import time:       767 |       1829 |               email.quoprimime
import time:       895 |        895 |               email.errors
import time:       572 |        572 |               email.encoders
import time:      1169 |       6711 |             email.charset
import time:       947 |      30367 |           email.utils
import time:      1014 |       1014 |             email.header
import time:       742 |       1755 |           email._policybase
import time:       675 |        675 |           email._encoded_words
import time:       559 |        559 |           email.iterators
import time:      1223 |      35942 |         email.message
import time:       947 |        947 |             _ast
import time:      2203 |       3150 |           ast
import time:       101 |        101 |               _opcode
import time:      1297 |       1398 |             opcode
import time:      2105 |       3502 |           dis
import time:      1277 |       1277 |             importlib
import time:       140 |       1417 |           importlib.machinery
import time:       852 |        852 |               token
import time:        63 |         63 |               _tokenize
import time:      1731 |       2646 |             tokenize
import time:      1426 |       4071 |           linecache
import time:      3825 |      15963 |         inspect
import time:       110 |        110 |               _json
import time:       937 |       1047 |             json.scanner
import time:      1215 |       2261 |           json.decoder
import time:       996 |        996 |           json.encoder
import time:      1153 |       4409 |         json
import time:      1184 |       1184 |         threading
import time:        67 |         67 |           _contextvars
import time:       634 |        701 |         contextvars
import time:      1053 |       1053 |         dataclasses
import time:       945 |        945 |             anyio._core
import time:      1108 |       2053 |           anyio._core._contextmanagers
import time:      1170 |       1170 |               textwrap
import time:       647 |       1817 |             anyio._core._exceptions
import time:       631 |        631 |               sniffio._version
import time:       510 |        510 |               sniffio._impl
import time:       657 |       1796 |             sniffio
import time:       624 |       4236 |           anyio._core._eventloop
import time:       257 |        257 |                   posix
import time:       101 |        358 |                 posixpath
import time:       691 |       1048 |               fnmatch
import time:      1221 |       2268 |             pathlib
import time:       610 |        610 |             anyio.to_thread
import time:       724 |        724 |                 signal
import time:       856 |       1580 |               anyio.abc._eventloop
import time:       490 |        490 |               anyio.abc._resources
import time:       505 |        505 |                 anyio._core._typedattr
import time:      2516 |       2516 |                     typing_extensions
import time:       652 |       3168 |                   anyio.abc._tasks
import time:      1050 |       4217 |                 anyio.abc._streams
import time:       960 |       5681 |               anyio.abc._sockets
import time:       949 |        949 |               anyio.abc._subprocesses
import time:       660 |        660 |               anyio.abc._testing
import time:      1486 |       1486 |                 anyio.lowlevel
import time:      1127 |       1127 |                 anyio._core._tasks
import time:       640 |        640 |                 anyio._core._testing
import time:      3825 |       7076 |               anyio._core._synchronization
import time:       641 |        641 |                   concurrent
import time:      1215 |       1215 |                       traceback
import time:        67 |         67 |                       atexit
import time:      2321 |       3602 |                     logging
import time:      1008 |       4609 |                   concurrent.futures._base
import time:       840 |       6090 |                 concurrent.futures
import time:      1554 |       7643 |               anyio.from_thread
import time:       789 |      24866 |             anyio.abc
import time:      1406 |      29150 |           anyio._core._fileio
import time:       796 |        796 |           anyio._core._resources
